Year,st,State,Atkin05,Gini,RMeanDev,Theil
1923,6,Colorado,0.144296825,0.377662927,0.512280643,0.388844401
1923,7,Connecticut,0.184406683,0.436476827,0.615729332,0.525610447
1923,8,Delaware,0.175405145,0.419100404,0.596239686,0.491918385
1923,9,District of Columbia,0.185926035,0.468911916,0.711643755,0.462835729
1923,10,Florida,0.173836187,0.42020905,0.583336473,0.486940712
1923,11,Georgia,0.136259064,0.373677939,0.514933646,0.34726426
1923,13,Idaho,0.086133152,0.295539021,0.40598011,0.203400806
1923,14,Illinois,0.175997362,0.422855109,0.593546152,0.512489617
1923,15,Indiana,0.123341329,0.35305801,0.482036054,0.32573998
1923,16,Iowa,0.106608659,0.334314674,0.452387661,0.267260611
1923,17,Kansas,0.09875571,0.317372262,0.434422642,0.234550014
1923,18,Kentucky,0.150051177,0.397999614,0.559463561,0.383329898
1923,19,Louisiana,0.141798213,0.385887414,0.535065234,0.369088173
1923,20,Maine,0.154934913,0.399468392,0.557598054,0.431091636
1923,21,Maryland,0.197552964,0.467084259,0.681697905,0.543180168
1923,22,Massachusetts,0.193402126,0.446908593,0.635077417,0.535461187
1923,23,Michigan,0.166954651,0.399964869,0.552878678,0.53763622
1923,24,Minnesota,0.154791027,0.405791283,0.574642479,0.419295579
1923,25,Mississippi,0.148534879,0.391188025,0.544899046,0.390683711
1923,26,Missouri,0.161612153,0.410616428,0.578401089,0.435043573
1923,27,Montana,0.086481087,0.300100386,0.411161572,0.192130134
1923,28,Nebraska,0.116928063,0.35399124,0.48884213,0.282247454
1923,29,Nevada,0.083899848,0.304761082,0.431060135,0.185396954
1923,30,New Hampshire,0.133030236,0.370395273,0.51146102,0.343527853
1923,31,New Jersey,0.181207553,0.435754031,0.614095926,0.517165661
1923,32,New Mexico,0.088618837,0.303040922,0.409689248,0.205666408
1923,33,New York,0.228190467,0.481869698,0.697053254,0.713195562
1923,34,North Carolina,0.160358936,0.395868093,0.556152165,0.456554621
1923,35,North Dakota,0.079855673,0.29680866,0.407417297,0.172198907
1923,36,Ohio,0.149396822,0.386563957,0.543137848,0.419235259
1923,37,Oklahoma,0.134852067,0.377538234,0.526448071,0.340449214
1923,38,Oregon,0.123983987,0.352756202,0.480626076,0.316220254
1923,39,Pennsylvania,0.182086959,0.426159829,0.604517817,0.539396882
1923,40,Rhode Island,0.189216539,0.441236585,0.628808558,0.553091645
1923,41,South Carolina,0.167281494,0.409423828,0.571000636,0.494527102
1923,42,South Dakota,0.096827589,0.319407731,0.439820111,0.212615207
1923,43,Tennessee,0.143826708,0.390228361,0.54766202,0.364833921
1923,44,Texas,0.123668589,0.357951999,0.492255211,0.311399519
1923,45,Utah,0.109296001,0.339154959,0.466195911,0.25778079
1923,46,Vermont,0.159972221,0.401120126,0.560291111,0.475729764
1923,47,Virginia,0.124678791,0.36335355,0.507898748,0.308648914
1923,48,Washington,0.100749791,0.326043457,0.448974967,0.241150811
1923,49,West Virginia,0.131393015,0.364706993,0.499508321,0.350881487
1923,50,Wisconsin,0.138267815,0.378074437,0.530829072,0.353789866
1923,51,Wyoming,0.092058674,0.309806734,0.427034289,0.207897574
1924,0,United States,0.192275465,0.443935066,0.628351748,0.56286025
1924,1,Alabama,0.147314966,0.393101782,0.562171876,0.390401095
